Series Name,Series Code,Country Name,Country Code,,,,,,,,,,,,,,,,,,
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Peru,PER,,,,,,,,,,,,,,,,,,
"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,Peru,PER,,,,,,,,,,,,,,,,,,
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD,Peru,PER,,,,,,,,,,,,,,,,,,
"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,Peru,PER,,,,,,,,,,,,,,,,,,
"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,Peru,PER,,,,,,,,,,,,,,,,,,
"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,Peru,PER,,,,,,,,,,,,,,,,,,
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,Peru,PER,,,,,,,,,,,,,,,,,,
"Insurance and financial services (% of service exports, BoP)",BX.GSR.INSF.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,Peru,PER,,,,,,,,,,,,,,,,,,
Gross domestic savings (% of GDP),NY.GDS.TOTL.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Gross savings (% of GNI),NY.GNS.ICTR.GN.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Gross fixed capital formation, private sector (% of GDP)",NE.GDI.FPRV.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Gross national expenditure deflator (base year varies by country),NE.DAB.DEFL.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Gross savings (% of GDP),NY.GNS.ICTR.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,Peru,PER,,,,,,,,,,,,,,,,,,
"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,Peru,PER,,,,,,,,,,,,,,,,,,
"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,Peru,PER,,,,,,,,,,,,,,,,,,
"GNI, PPP (constant 2021 international $)",NY.GNP.MKTP.PP.KD,Peru,PER,,,,,,,,,,,,,,,,,,
"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)",NE.CON.PRVT.PP.KD,Peru,PER,,,,,,,,,,,,,,,,,,
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Peru,PER,,,,,,,,,,,,,,,,,,
Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,Peru,PER,,,,,,,,,,,,,,,,,,
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Peru,PER,,,,,,,,,,,,,,,,,,
"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,Peru,PER,,,,,,,,,,,,,,,,,,
"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Peru,PER,,,,,,,,,,,,,,,,,,
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Peru,PER,,,,,,,,,,,,,,,,,,
"Households and NPISHs Final consumption expenditure, PPP (current international $)",NE.CON.PRVT.PP.CD,Peru,PER,,,,,,,,,,,,,,,,,,
"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP,Peru,PER,,,,,,,,,,,,,,,,,,
Households and NPISHs Final consumption expenditure per capita growth (annual %),NE.CON.PRVT.PC.KD.ZG,Peru,PER,,,,,,,,,,,,,,,,,,
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,Peru,PER,,,,,,,,,,,,,,,,,,
General government final consumption expenditure (annual % growth),NE.CON.GOVT.KD.ZG,Peru,PER,,,,,,,,,,,,,,,,,,
"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,Peru,PER,,,,,,,,,,,,,,,,,,
Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,Peru,PER,,,,,,,,,,,,,,,,,,
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,Peru,PER,,,,,,,,,,,,,,,,,,
Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,Peru,PER,,,,,,,,,,,,,,,,,,
Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Access to clean fuels and technologies for cooking, rural (% of rural population)",EG.CFT.ACCS.RU.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
"Access to clean fuels and technologies for cooking, urban (% of urban population)",EG.CFT.ACCS.UR.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
Access to electricity (% of population),EG.ELC.ACCS.ZS,Peru,PER,,,,,,,,,,,,,,,,,,
